position,player,projection
QB,QB1,12.3
QB,QB2,14.1
QB,QB3,13.2
QB,QB4,15.1
QB,QB5,18.1
RB,RB1,12.1
RB,RB2,14.2
RB,RB3,15.5
RB,RB4,17.1
RB,RB5,16.1
RB,RB6,19.1
RB,RB7,20
RB,RB8,20.5
RB,RB9,23
RB,RB10,24
RB,RB11,21
RB,RB12,19
RB,RB13,17
RB,RB14,26
RB,RB15,28
WR,WR1,13
WR,WR2,17.1
WR,WR3,15.3
WR,WR4,16
WR,WR5,19
WR,WR6,21
WR,WR7,20
WR,WR8,20.1
WR,WR9,24
WR,WR10,21.5
WR,WR11,23
WR,WR12,27
WR,WR13,24
WR,WR14,27
WR,WR15,28
WR,WR16,28.4
WR,WR17,25
WR,WR18,25
WR,WR19,27
WR,WR20,30
TE,TE1,9.2
TE,TE2,8.1
TE,TE3,10.2
TE,TE5,14
TE,TE6,12
TE,TE7,17
TE,TE8,19
TE,TE9,22
TE,TE10,25
DST,DST1,7
DST,DST2,6
DST,DST4,5
DST,DST5,10
