Name/id,Position,Salary,Projection
Cooper Kupp (21114421),WR,8800,10
Patrick Mahomes (21114355),QB,7400,10
Deebo Samuel (21114423),WR,7200,10
Tyreek Hill (21114425),WR,7000,10
Joe Mixon (21114367),RB,6800,10
Ja'Marr Chase (21114427),WR,6700,10
Joe Burrow (21114356),QB,6600,10
Travis Kelce (21114495),TE,6500,10
Matthew Stafford (21114357),QB,6300,10
Eli Mitchell (21114369),RB,5900,10
Tee Higgins (21114429),WR,5700,10
Clyde Edwards-Helaire (21114371),RB,5300,10
Jerick McKinnon (21114373),RB,5100,10
Odell Beckham Jr. (21114431),WR,5100,10
Cam Akers (21114375),RB,5000,10
Brandon Aiyuk (21114433),WR,5000,10
George Kittle (21114497),TE,5000,10
Sony Michel (21114377),RB,4600,10
Byron Pringle (21114435),WR,4300,10
Tyler Boyd (21114437),WR,4200,10
Kyle Juszczyk (21114387),RB,4100,10
Mecole Hardman (21114439),WR,4000,10
Van Jefferson (21114441),WR,3900,10
Demarcus Robinson (21114443),WR,3800,10
Tyler Higbee (21114499),TE,3700,10
C.J. Uzomah (21114501),TE,3400,10
Jauan Jennings (21114445),WR,3200,10
Rams (21114541),DST,3200,10
Chiefs (21114542),DST,3000,10
49ers (21114543),DST,2800,10
